timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1651622522861,2228,Register New User Request,200,OK,Custos Thread Group 1-1,text,true,,143,348,1,1,http://127.0.0.1:8888/registerUsers,2228,0,22
1651622525094,1005,Create Group Request,200,OK,Custos Thread Group 1-1,text,true,,143,907,1,1,http://127.0.0.1:8888/createGroups,1005,0,0
1651622526101,634,Create Permission Request,200,OK,Custos Thread Group 1-1,text,true,,143,542,1,1,http://127.0.0.1:8888/createPermission,634,0,0
1651622526736,378,Create Entity Type Request,200,OK,Custos Thread Group 1-1,text,true,,143,584,1,1,http://127.0.0.1:8888/createEntityType,378,0,0
1651622527115,2880,Verify User Request,200,OK,Custos Thread Group 1-1,text,true,,182,251,2,2,http://127.0.0.1:8888/verifyUser,2880,0,0
1651622527784,3457,Register New User Request,200,OK,Custos Thread Group 1-2,text,true,,143,348,2,2,http://127.0.0.1:8888/registerUsers,3457,0,1
1651622529996,1873,Register Resources Request,200,OK,Custos Thread Group 1-1,text,true,,143,372,2,2,http://127.0.0.1:8888/registerResources,1873,0,0
1651622531242,1460,Create Group Request,200,OK,Custos Thread Group 1-2,text,true,,143,907,2,2,http://127.0.0.1:8888/createGroups,1460,0,0
1651622531870,1079,Share Resources with Group Request,200,OK,Custos Thread Group 1-1,text,true,,143,335,3,3,http://127.0.0.1:8888/shareResourceWithGroup,1079,0,0
1651622532703,680,Create Permission Request,200,OK,Custos Thread Group 1-2,text,true,,143,542,3,3,http://127.0.0.1:8888/createPermission,680,0,0
1651622532949,562,Allocate User to Group Request,200,OK,Custos Thread Group 1-1,text,true,,151,276,3,3,http://127.0.0.1:8888/allocateUsersToGroups,562,0,0
1651622532785,1823,Register New User Request,200,OK,Custos Thread Group 1-3,text,true,,143,348,3,3,http://127.0.0.1:8888/registerUsers,1823,0,1
1651622533383,1631,Create Entity Type Request,200,OK,Custos Thread Group 1-2,text,true,,143,584,3,3,http://127.0.0.1:8888/createEntityType,1631,0,0
1651622533512,2221,Share Resource With User Request,200,OK,Custos Thread Group 1-1,text,true,,143,364,3,3,http://127.0.0.1:8888/shareResourceWithUser,2221,0,0
1651622534609,1988,Create Group Request,200,OK,Custos Thread Group 1-3,text,true,,143,907,3,3,http://127.0.0.1:8888/createGroups,1988,0,0
1651622535015,4093,Verify User Request,200,OK,Custos Thread Group 1-2,text,true,,182,251,4,4,http://127.0.0.1:8888/verifyUser,4093,0,0
